,Squad,W,D,L,GD,Attendance,num_players,Age,Poss,G_A,CrdY,CrdR,PrgC,PrgP,Sh,SoT,G_per_Sh,Dist,Total_Cmp,Short_Cmp,Medium_Cmp,Long_Cmp,TO,Fld
0,Arsenal,18,14,4,33,60256,25,26.6,56.9,116,67,6,806,1738,509,167,0.12,15.0,84.3,91.7,89.1,51.3,46,34
1,Aston Villa,18,9,9,7,42070,28,27.8,50.6,97,73,3,678,1254,454,151,0.11,16.2,82.7,90.2,88.9,53.1,48,38
2,Bournemouth,14,11,11,12,10587,29,25.9,48.3,93,94,2,719,1411,546,183,0.09,16.7,76.5,86.4,84.6,48.2,40,38
3,Brentford,16,7,13,10,18832,28,26.6,47.7,104,57,1,559,1273,411,162,0.14,15.0,78.1,86.7,84.8,52.6,39,34
4,Brighton,14,13,9,3,31808,31,25.7,52.1,95,76,3,766,1432,479,164,0.11,17.2,82.3,90.5,87.4,54.4,52,51
5,Chelsea,18,9,9,19,39662,29,24.5,57.6,104,98,2,827,1537,573,198,0.1,16.7,84.9,91.7,90.6,54.8,57,38
6,Crystal Palace,12,13,11,-2,25081,29,27.0,43.4,78,79,4,474,1113,490,160,0.08,16.8,75.5,85.5,83.8,44.9,31,45
7,Everton,9,15,12,-5,38397,26,28.8,40.8,61,77,2,461,984,377,129,0.09,16.9,76.0,86.5,84.3,52.4,40,29
8,Fulham,14,9,13,1,26779,26,28.8,52.5,93,76,2,750,1492,487,157,0.1,16.4,82.0,89.7,88.2,55.5,36,23
9,Ipswich Town,4,10,22,-42,29740,32,26.6,40.3,59,91,5,470,853,340,114,0.09,17.8,77.7,88.3,85.3,46.5,47,29
10,Leicester City,5,7,24,-47,31418,31,27.4,45.5,54,84,0,558,1037,320,102,0.09,17.3,79.8,89.6,87.0,45.6,41,33
11,Liverpool,25,8,3,46,60321,24,28.0,57.6,144,65,2,777,1803,607,207,0.12,16.0,84.1,91.7,88.6,55.4,76,26
12,Manchester City,19,8,9,24,52771,29,27.6,61.7,114,58,1,1085,1847,572,199,0.11,16.9,88.2,92.8,91.6,62.7,65,36
13,Manchester Utd,10,9,17,-11,73742,31,26.2,53.2,68,78,3,653,1351,495,158,0.07,17.3,82.4,90.2,88.1,50.9,36,34
14,Newcastle Utd,20,6,10,23,52185,24,28.2,51.0,116,64,1,704,1506,488,152,0.13,15.9,81.5,89.5,87.8,51.5,39,35
15,Nott'ham Forest,18,8,10,12,30047,23,26.9,40.9,96,85,2,597,1048,440,155,0.12,17.6,75.2,87.4,80.9,44.2,35,37
16,Southampton,2,6,28,-57,30859,35,26.1,48.8,39,88,3,618,1080,328,102,0.07,16.4,83.7,91.1,89.8,51.8,46,27
17,Tottenham,11,5,20,4,61109,31,25.8,55.8,107,67,1,813,1565,487,175,0.12,16.0,82.9,89.8,88.9,53.5,52,34
18,West Ham,10,10,16,-17,62463,27,28.9,47.9,65,75,3,593,1145,447,126,0.08,16.3,80.4,89.0,87.1,52.2,47,34
19,Wolves,12,5,19,-13,30657,31,27.7,47.5,89,75,2,568,1100,401,146,0.12,18.1,80.8,90.0,87.9,50.0,53,34
